P06844	PF02269
P25655	PF16419
P25655	PF16417
P25655	PF12842
P25655	PF04054
Q06835	PF03660
P0CG63	PF00240
P38261	PF16528
P38261	PF08700
P32790	PF00018
P32790	PF14604
P32790	PF03983
P30619	PF00995
P38890	PF00856
P16151	PF03124
Q06697	PF05179
P43593	PF00443
P47103	PF00160
P47103	PF00515
P00546	PF00069
P27801	PF05131
P38959	PF00637
P38959	PF00400
P00830	PF00006
P00830	PF02874
P00830	PF22919
P47017	PF01423
Q03280	PF06012
Q03280	PF06025
Q03280	PF00632
Q03280	PF14377
Q12488	PF05916
P38764	PF01851
P38764	PF18051
P38764	PF17781
P40492	PF10607
P32447	PF04729
P40340	PF00004
P40340	PF17862
Q12033	PF13949
Q12033	PF03097
P32608	PF02541
P50102	PF00443
P50102	PF02148
P53165	PF08313
P53165	PF18508
Q03388	PF05764
Q03388	PF08265
P29295	PF00069
P40350	PF00535
Q12150	PF20413
Q12150	PF21678
Q06324	PF08505
P33420	PF01302
P10507	PF00675
P10507	PF05193
P53251	PF15341
Q12692	PF00125
Q12692	PF16211
Q01389	PF00069
P54860	PF04564
P54860	PF10408
P53008	PF03200
P53008	PF16923
P36015	PF13774
P36015	PF00957
Q02100	PF11785
Q02100	PF00170
P11433	PF06395
P11433	PF15411
P11433	PF00621
P14737	PF00533
P14737	PF08605
Q08496	PF00646
P35208	PF00583
P35208	PF09337
P53197	PF00400
Q06819	PF02966
P40957	PF05557
P32897	PF02466
P53104	PF12063
P53104	PF21127
P53104	PF00069
P38153	PF00928
P28708	PF00069
Q99260	PF00071
P52286	PF01466
P52286	PF03931
P38257	PF02732
Q04632	PF04124
P09734	PF00091
P09734	PF03953
P21576	PF01031
P21576	PF00350
P21576	PF02212
P40568	PF08202
P06778	PF04098
P36224	PF04912
P40958	PF02301
Q02796	PF11488
P16387	PF00676
P26725	PF01793
P36116	PF08700
Q04080	PF10510
P53191	PF01363
P0CX37	PF01092
Q12001	PF03155
P35728	PF08783
P40343	PF01363
P40343	PF02809
P40343	PF00790
P40343	PF21356
P38144	PF09110
P38144	PF00271
P38144	PF09111
P38144	PF00176
P06101	PF08564
P06101	PF08565
P06101	PF03234
P87108	PF02953
P53266	PF02104
P33754	PF09802
P39006	PF02666
P07256	PF00675
P07256	PF05193
Q03713	PF04588
Q07807	PF00806
P14020	PF00535
P07281	PF01090
Q03178	PF00399
Q03178	PF22799
P21657	PF04082
P21657	PF00172
Q02554	PF04037
Q02554	PF04046
P21825	PF03839
P32639	PF21188
P32639	PF00270
P32639	PF00271
P32639	PF18149
P32639	PF02889
Q12309	PF05843
P47128	PF09340
P32368	PF02383
P33308	PF07544
Q06667	PF06090
P53261	PF16589
P53261	PF06732
P25358	PF01151
Q12432	PF05712
Q12432	PF22732
P21965	PF00069
P19073	PF00071
P48562	PF00786
P48562	PF00169
P48562	PF00069
P34226	PF08238
P39743	PF03114
P39743	PF00018
P39706	PF00400
P61830	PF00125
Q00582	PF04670
P40345	PF02450
P38757	PF03031
P53930	PF03366
Q07457	PF08647
Q07457	PF00097
P52593	PF18378
P52593	PF10487
P52593	PF21093
P38255	PF08595
P25043	PF00227
P25043	PF12465
P38326	PF07572
P28007	PF04410
P33322	PF08068
P33322	PF01472
P33322	PF16198
P33322	PF01509
P29539	PF12231
P28791	PF03908
P34241	PF16201
P34241	PF11707
P24869	PF02984
P24869	PF00134
Q03323	PF05186
Q12306	PF00240
P38801	PF04000
P25635	PF04003
P25635	PF00400
P25555	PF00076
P47035	PF10407
P40150	PF00012
P10080	PF00076
Q12377	PF01399
Q12377	PF18503
Q12377	PF18055
P29468	PF01909
P29468	PF04928
P29468	PF04926
P32567	PF04571
P32567	PF08235
P40186	PF08613
P41815	PF00324
P22141	PF00227
P50086	PF00023
P43588	PF01398
Q03654	PF11831
Q03654	PF00249
P46944	PF12739
P12383	PF04082
P12383	PF00172
P38701	PF00338
P40466	PF00498
P40466	PF00250
Q12149	PF01612
Q12149	PF00570
Q12149	PF08066
P39110	PF00025
P10591	PF00012
P07866	PF00617
P07866	PF00618
P38903	PF01603
P32908	PF06470
P32908	PF02463
Q03214	PF01388
Q03214	PF00628
P21372	PF00270
P21372	PF00271
P25586	PF17903
P25586	PF21800
P33892	PF12074
P32902	PF00318
P19263	PF08638
Q03067	PF08209
Q03067	PF18519
P22146	PF03198
P22146	PF07983
Q04217	PF00270
Q04217	PF21010
Q04217	PF04408
Q04217	PF00271
Q04217	PF07717
P32381	PF00022
P12954	PF00580
P12954	PF13361
Q6WNK7	PF10163
P05374	PF04191
P06776	PF00233
P32849	PF00271
P32849	PF08797
P32849	PF00176
P32849	PF00097
P34164	PF16561
P34164	PF04739
Q02804	PF00025
P48363	PF02996
P49687	PF04096
P49687	PF13634
P49687	PF12110
P38968	PF12931
P38968	PF11549
P38968	PF07304
P38968	PF00400
Q03957	PF00069
P47154	PF01435
P47154	PF16491
P53192	PF04420
P53035	PF00096
P32563	PF01496
Q03944	PF00498
P22470	PF13639
Q01159	PF03919
Q01159	PF01331
Q06541	PF04161
P18410	PF03907
Q01476	PF13446
Q01476	PF00443
P40013	PF03271
Q12527	PF10377
Q12527	PF04108
P38838	PF08325
P28777	PF01264
P22216	PF00498
P22216	PF00069
P06243	PF00069
Q03897	PF05773
Q03897	PF00400
Q03897	PF17120
P22133	PF02866
P22133	PF00056
P41543	PF04597
P32844	PF06046
P38273	PF19031
P53086	PF00225
P47057	PF00787
P22082	PF00439
P22082	PF00271
P22082	PF08880
P22082	PF14619
P22082	PF00176
P40395	PF07064
P15019	PF00923
P53011	PF00400
P32333	PF12054
P32333	PF00271
P32333	PF00176
Q12142	PF04109
P32607	PF00010
P32335	PF20179
P32335	PF13824
P53146	PF09753
Q12365	PF15272
Q12365	PF15271
P40991	PF01189
P38439	PF04004
Q05541	PF01454
P53254	PF03813
P53254	PF17403
P53254	PF17404
P53254	PF17405
P53254	PF17406
P53254	PF17407
P17119	PF00225
P53220	PF08294
Q12749	PF13476
P38779	PF00687
P30656	PF00227
P14747	PF00149
P34760	PF10417
P34760	PF00578
P35182	PF00481
Q00955	PF21385
Q00955	PF08326
Q00955	PF02785
Q00955	PF00289
Q00955	PF00364
Q00955	PF01039
Q00955	PF02786
P32558	PF14826
P32558	PF00557
P32558	PF08512
P32558	PF08644
P32558	PF21091
P34909	PF14570
P38789	PF04427
P12612	PF00118
P38112	PF00270
P38112	PF00271
P25046	PF08633
P32911	PF01253
P50106	PF08203
P25644	PF09770
P34230	PF06472
P34230	PF00005
P43577	PF00583
P47019	PF09135
P38886	PF13519
P38129	PF08513
P38129	PF04494
P38129	PF00400
P13517	PF01115
Q08951	PF01602
P36149	PF04051
P25454	PF14520
P25454	PF08423
P32613	PF04628
P60010	PF00022
Q08685	PF06807
Q08685	PF16573
Q08685	PF16575
Q08491	PF00009
Q08491	PF21921
Q08491	PF21920
P26793	PF00867
P26793	PF00752
P53064	PF03126
P42945	PF08146
P42945	PF12397
Q02354	PF05843
Q02354	PF08640
P11978	PF16991
P40161	PF18469
P40161	PF18215
P40161	PF08512
P02994	PF22594
P02994	PF00009
P33299	PF00004
P33299	PF17862
P33299	PF21236
P43605	PF13880
P43605	PF13878
P41733	PF06728
P53135	PF18523
P53135	PF08639
P25847	PF01624
P25847	PF05188
P25847	PF05192
P25847	PF05190
P25847	PF00488
P02293	PF00125
P15436	PF00136
P15436	PF03104
P15436	PF14260
Q02685	PF08585
P38736	PF12352
P38429	PF13867
P39008	PF04857
Q02642	PF01849
Q03785	PF00069
P32939	PF00071
P35187	PF00270
P35187	PF00271
P35187	PF11408
P35187	PF16124
P35187	PF09382
Q04659	PF07962
P05030	PF00690
P05030	PF00122
P05030	PF00702
P46682	PF01602
Q12163	PF00018
P04807	PF00349
P04807	PF03727
Q03529	PF00173
Q03529	PF04116
P39083	PF00412
P39083	PF00620
P53687	PF02146
P10862	PF02037
P10862	PF00097
P40048	PF00581
P40048	PF00102
P38147	PF00069
P16892	PF00069
P53691	PF00160
P32797	PF16853
P32797	PF18691
P32797	PF18233
P32797	PF02765
P47064	PF01217
Q07468	PF10366
Q07468	PF10367
P23285	PF00160
Q04002	PF12765
Q04002	PF12830
P16474	PF00012
P24276	PF17877
P24276	PF17849
P24276	PF00773
Q06685	PF00328
Q06685	PF18086
Q06685	PF08443
Q04636	PF21103
Q04636	PF17292
Q04636	PF08512
Q04636	PF03531
P13586	PF13246
P13586	PF00689
P13586	PF00690
P13586	PF00122
P13586	PF00702
P10081	PF00270
P10081	PF00271
P31385	PF08598
P32494	PF10198
P53959	PF20653
P53959	PF06419
P32523	PF08606
P32854	PF05739
P32854	PF14523
Q06156	PF12717
Q06156	PF12922
P41318	PF00400
P36005	PF00069
Q02455	PF07926
P33332	PF15277
P33332	PF20654
P33332	PF09763
P41544	PF09801
P28519	PF05181
P52917	PF00004
P52917	PF17862
P52917	PF04212
P52917	PF09336
P49704	PF01798
P49704	PF09785
P39927	PF14327
P39927	PF14304
P36161	PF08801
P32458	PF00735
Q04660	PF08145
Q04660	PF00400
Q12024	PF08154
Q12024	PF00400
Q06164	PF09462
P06780	PF00071
P35169	PF02259
P35169	PF02260
P35169	PF08771
P35169	PF11865
P35169	PF00454
P22214	PF13774
P22214	PF00957
P32657	PF18196
P32657	PF13907
P32657	PF00385
P32657	PF00271
P32657	PF00176
Q03330	PF00583
Q03330	PF00439
Q08484	PF00566
P40518	PF04699
P20604	PF00149
P40070	PF01423
P07703	PF01000
P07703	PF01193
P47047	PF00270
P47047	PF08148
P47047	PF00271
P47047	PF21408
P47047	PF13234
Q12509	PF00022
P46675	PF21042
P46675	PF21041
P45976	PF05182
Q12464	PF06068
Q12464	PF17856
P16862	PF00365
P41811	PF04053
P41811	PF00400
P50947	PF12998
P40089	PF01423
Q08723	PF01398
Q08723	PF13012
Q05636	PF01138
Q05636	PF03725
P05737	PF00327
P05737	PF08079
P05738	PF00347
P17076	PF01248
P25559	PF09724
P36012	PF00125
P50105	PF05236
P31384	PF03372
P31384	PF13855
P47027	PF00533
P47027	PF16589
P87284	PF01679
P32473	PF02780
P32473	PF02779
P40351	PF03155
P42935	PF00400
P10964	PF04997
P10964	PF00623
P10964	PF04983
P10964	PF05000
P10964	PF04998
P39073	PF00069
P32591	PF00249
P32591	PF04433
P32591	PF16495
P39517	PF00270
P39517	PF00271
P25560	PF03248
P32598	PF00149
P32598	PF16891
P05626	PF05405
P53179	PF02752
P53179	PF00339
P19524	PF01843
P19524	PF00063
P01120	PF00071
P32835	PF00071
P54837	PF01105
P38182	PF02991
P38877	PF09696
P07834	PF16856
P07834	PF00646
P07834	PF00400
P16120	PF00291
P16120	PF14821
P29469	PF00493
P29469	PF12619
P29469	PF17855
P29469	PF14551
P29469	PF17207
P40069	PF03810
P40073	PF00018
Q00764	PF00982
P04786	PF01028
P04786	PF02919
P04786	PF14370
P20436	PF03870
Q08581	PF12709
P36142	PF03619
P80428	PF00022
P36107	PF14378
O13539	PF09432
P07249	PF00319
P54199	PF00069
P25651	PF12539
P25651	PF18504
P52870	PF03911
P11076	PF00025
P32499	PF08911
P32499	PF00638
P47155	PF10311
P23900	PF00230
P53281	PF00018
P46985	PF05637
Q04697	PF11055
P20448	PF00270
P20448	PF13959
P20448	PF00271
P36160	PF04427
P23615	PF14635
P23615	PF14641
P23615	PF00017
P23615	PF14632
P23615	PF21710
P23615	PF22706
P23615	PF14639
Q05471	PF00271
Q05471	PF07529
Q05471	PF00176
P41695	PF08311
P41695	PF08171
P41695	PF00069
P40060	PF17335
P38820	PF00581
P38820	PF00899
P36080	PF15459
P36080	PF04935
P50275	PF03999
P48582	PF13949
P48582	PF03097
P12689	PF16589
P12689	PF00817
P12689	PF11799
P12689	PF21999
Q01649	PF16796
P31115	PF01416
P53901	PF00168
P46995	PF17907
P46995	PF00856
P46995	PF08236
P46995	PF18507
Q04461	PF12550
P32910	PF05158
P32914	PF06093
P48240	PF01138
P33298	PF00004
P33298	PF16450
P32379	PF00227
P32379	PF10584
P46962	PF00134
P32589	PF00012
Q06675	PF09496
Q06245	PF07393
Q06245	PF20667
P36048	PF00679
P36048	PF03764
P36048	PF16004
P36048	PF00009
P39001	PF00172
Q12263	PF16797
Q12263	PF00069
P21951	PF03104
P21951	PF08490
P21951	PF22634
P21951	PF22912
P22007	PF00432
Q08601	PF00656
P38293	PF05348
P06782	PF16579
P06782	PF00069
P06782	PF08587
Q06340	PF11976
P20434	PF01191
P20434	PF03871
P25294	PF00226
P25294	PF01556
P32500	PF09531
P06245	PF00069
Q12030	PF03540
P32606	PF08634
P35180	PF02064
P00927	PF00291
P00927	PF00585
Q03656	PF00069
P38889	PF00447
P38889	PF00072
Q08208	PF00076
P53277	PF08231
P32795	PF00004
P32795	PF17862
P32795	PF01434
P32795	PF21232
P31109	PF00957
P34162	PF08612
P40509	PF04733
P53973	PF09757
P53973	PF00850
P26570	PF00149
P26570	PF16891
P38970	PF00069
P40065	PF10434
Q03103	PF04137
P38198	PF12348
P36130	PF11615
P36130	PF00400
P32800	PF04757
Q99380	PF10215
P36016	PF00012
Q06592	PF00583
P36046	PF06747
Q05580	PF13920
Q99220	PF07915
Q99220	PF17880
Q12046	PF00076
Q12046	PF16131
Q02260	PF01423
Q08963	PF14580
P06700	PF04574
P06700	PF02146
Q12530	PF20945
Q12522	PF01912
P02309	PF15511
Q02892	PF06858
Q02892	PF17835
Q02892	PF08155
P36124	PF00628
P36124	PF00856
Q12159	PF00076
P33329	PF00149
P33329	PF16891
P22147	PF18129
P22147	PF18332
P22147	PF18334
P22147	PF17846
P22147	PF03159
Q12518	PF01417
P32829	PF00149
P32829	PF04152
Q12052	PF09445
P29496	PF00493
P29496	PF21933
P29496	PF17855
P29496	PF14551
P29496	PF17207
P32915	PF10559
P32915	PF00344
P54787	PF02845
P54787	PF18151
P54787	PF02204
Q04195	PF14324
Q04195	PF02037
Q04195	PF02891
P38304	PF10232
P39744	PF03715
P32352	PF04622
P43639	PF01214
Q08162	PF17849
Q08162	PF13638
Q08162	PF00773
Q08162	PF17216
Q08162	PF17215
Q02206	PF00439
Q08278	PF05983
P53905	PF01423
P47821	PF00134
P11632	PF00505
P53236	PF01426
P53236	PF00439
Q12158	PF04824
Q12158	PF04825
P25302	PF00023
P25302	PF04383
P38011	PF00400
Q99207	PF04147
P23639	PF00227
P23639	PF10584
P25341	PF00069
P32803	PF01105
Q08923	PF00628
P40482	PF00626
P40482	PF08033
P40482	PF04815
P40482	PF04811
P40482	PF04810
P32570	PF06179
P47112	PF16679
Q12389	PF08147
Q12389	PF00270
Q12389	PF00271
P04456	PF00276
P04456	PF03939
P32597	PF00439
P32597	PF00271
P32597	PF07529
P32597	PF14619
P32597	PF00176
P36528	PF11788
P22543	PF00613
P22543	PF00792
P22543	PF00454
P08518	PF04563
P08518	PF04561
P08518	PF04565
P08518	PF04566
P08518	PF04567
P08518	PF00562
P08518	PF04560
P32873	PF00169
P32873	PF00787
P32873	PF00620
Q12368	PF12874
P22204	PF00069
P22204	PF00433
P17157	PF00069
P20107	PF01545
P25694	PF00004
P25694	PF17862
P25694	PF02933
P25694	PF02359
Q12154	PF02374
P32641	PF03215
Q07688	PF01627
P38116	PF00025
P38798	PF02854
P38798	PF04050
P38700	PF00928
P53096	PF00850
P32562	PF00069
P32562	PF00659
Q12386	PF00022
P33300	PF04488
P27895	PF00225
P25625	PF04080
P32770	PF00641
P38696	PF00022
P33755	PF05021
P33755	PF05020
P0CS90	PF00012
P26321	PF14204
P26321	PF17144
P53112	PF04695
P33301	PF00498
P40968	PF00400
Q06680	PF12719
P32383	PF00388
P32383	PF00387
P33442	PF01015
Q06144	PF04061
P06244	PF00069
P04911	PF00125
P04911	PF16211
P19414	PF00330
P19414	PF00694
P25453	PF14520
P25453	PF08423
Q12143	PF08641
P54999	PF01423
Q03898	PF17300
P36027	PF04478
P53911	PF07904
P23201	PF12205
P23201	PF08518
P32492	PF01843
P32492	PF00612
P32492	PF00063
P38200	PF17077
P40056	PF08690
P12753	PF13476
P12753	PF04423
P12753	PF13558
Q03012	PF00628
Q05027	PF02291
P35691	PF00838
P40028	PF00867
P04051	PF04997
P04051	PF00623
P04051	PF04983
P04051	PF05000
P04051	PF04998
P32605	PF00076
P36121	PF04801
P22276	PF04563
P22276	PF04561
P22276	PF04565
P22276	PF04566
P22276	PF04567
P22276	PF00562
P22276	PF04560
P53622	PF04053
P53622	PF06957
P53622	PF00400
P32259	PF20719
P32259	PF11635
Q03761	PF03847
P32481	PF09173
P32481	PF00009
P0C0V8	PF01249
P39938	PF01283
P30771	PF13086
P30771	PF13087
P30771	PF18141
P30771	PF09416
P05453	PF00009
P05453	PF03143
P40319	PF01151
P00924	PF00113
P00924	PF03952
P53951	PF20649
P53951	PF10392
P35197	PF01412
P32504	PF12550
P32504	PF16787
P32504	PF21400
P19658	PF03081
P19658	PF20669
Q12124	PF11214
P13382	PF12254
P13382	PF00136
P13382	PF03104
P13382	PF08996
Q12420	PF19252
Q12420	PF03343
P53152	PF00179
P38121	PF04042
P38121	PF22062
P53267	PF08653
Q02948	PF04111
Q02948	PF17675
P06777	PF02732
P43616	PF07687
P43616	PF01546
P39875	PF00867
P39875	PF00752
Q99257	PF22602
Q99257	PF18444
Q99257	PF03943
P11747	PF02269
P38811	PF02259
P38811	PF00454
P38811	PF20175
P38811	PF20206
Q08214	PF00730
Q06668	PF08242
P22696	PF00639
P22696	PF00397
P39727	PF07970
P39727	PF13850
Q08921	PF10452
P32353	PF04116
Q05635	PF09468
Q05635	PF17745
P53094	PF13964
P11709	PF01302
P48439	PF04756
Q01477	PF00443
P10869	PF00696
P10869	PF22468
Q03144	PF01174
P38907	PF05238
P40970	PF00155
P32830	PF02953
P39515	PF02466
P89102	PF15469
P36057	PF09439
P53154	PF03062
P06701	PF17872
P06701	PF01426
P06701	PF22344
P12685	PF02386
Q08231	PF01399
P53900	PF01920
Q08204	PF02463
P37838	PF00076
P32581	PF00069
Q12330	PF01423
P36120	PF00270
P36120	PF13959
P36120	PF00271
Q05946	PF08625
Q05946	PF00400
P47124	PF04488
P25087	PF08241
P25087	PF08498
Q08562	PF00271
Q08562	PF00176
P02400	PF00428
Q08965	PF00004
Q08965	PF08142
Q08965	PF04950
Q08096	PF01137
Q08096	PF05189
P25343	PF03114
P40327	PF00004
P40327	PF17862
P40327	PF16450
Q06344	PF08159
P32917	PF11610
P32917	PF12194
Q12379	PF05839
P25298	PF05843
P15624	PF03483
P15624	PF03484
P15624	PF18262
P15624	PF17759
P07560	PF00071
P04912	PF00125
P04912	PF16211
Q08649	PF01853
Q08649	PF11717
Q08649	PF17772
P32479	PF07569
P32479	PF09453
P32479	PF00400
Q01855	PF00203
P36056	PF09243
P25554	PF07039
P38766	PF05970
P32325	PF22437
P32325	PF08630
P32325	PF07535
P09119	PF13401
P09119	PF22606
P09119	PF09079
P40094	PF20671
P40094	PF04136
Q07532	PF08574
P32801	PF00069
P23293	PF00069
P53843	PF03398
P69771	PF03357
P48231	PF00168
P23638	PF00227
P23638	PF10584
P22224	PF20651
P22224	PF04091
P52918	PF19273
Q06385	PF05719
P53082	PF01722
P53076	PF10607
P53076	PF00622
P27705	PF00096
Q92331	PF00787
Q92331	PF09325
Q12265	PF13793
Q12265	PF14572
P40450	PF02181
P32807	PF02735
P32807	PF03730
P32807	PF03731
P27825	PF00262
P29311	PF00244
P39702	PF12816
P47130	PF01399
P40160	PF01163
P40160	PF09202
P14736	PF10403
P14736	PF10405
P14736	PF03835
Q02336	PF00249
Q02336	PF04433
Q02336	PF22941
Q02336	PF00569
P33330	PF00266
P53068	PF03256
Q01560	PF00076
P40061	PF14663
P40061	PF14666
P40061	PF14664
P40061	PF14668
P05750	PF07650
P05750	PF00189
P09959	PF00023
P09959	PF18530
P14906	PF00226
P39521	PF00498
P39521	PF00250
P38930	PF01214
P39009	PF00498
P39009	PF00069
Q02776	PF03031
Q04493	PF02996
P14291	PF07964
P24482	PF04042
P47149	PF03980
Q03104	PF10281
P53168	PF08651
P39946	PF00400
P20433	PF03874
O94742	PF05160
P08153	PF00096
P18412	PF01285
P22035	PF00249
P38631	PF14288
P38631	PF02364
Q07845	PF16575
P47006	PF08208
P40204	PF01423
P53313	PF21638
P53313	PF05285
P53313	PF08158
Q01329	PF11935
P38249	PF22591
Q12250	PF01399
Q12250	PF22241
Q12250	PF18098
P33307	PF03378
P33307	PF08506
P33307	PF03810
Q03790	PF05172
P40087	PF13975
P40087	PF00627
P43535	PF00005
P43535	PF12848
P38334	PF04628
P32527	PF00226
P32527	PF16717
P32527	PF21884
P32457	PF00735
Q06677	PF09145
Q01454	PF20946
Q01454	PF12341
P32496	PF10075
P40555	PF00595
P32316	PF02550
P32316	PF13336
P34110	PF03635
P46964	PF02109
P69852	PF08227
P08566	PF01487
P08566	PF01761
P08566	PF00275
P08566	PF18317
P08566	PF01488
P08566	PF08501
P08566	PF01202
P37370	PF02205
P38902	PF13656
P40202	PF00403
Q12297	PF07524
P53040	PF02969
P53040	PF07571
P09547	PF01388
Q08920	PF00076
P32336	PF12799
P33753	PF01938
P33753	PF05958
P43565	PF00069
P43565	PF00072
P38590	PF00782
P53131	PF00270
P53131	PF21010
P53131	PF04408
P53131	PF00271
P53131	PF07717
P43621	PF00928
P43621	PF01217
Q99216	PF17903
Q99216	PF22891
P25588	PF09444
P04821	PF00617
P04821	PF00618
P04821	PF00018
Q12517	PF06058
P41806	PF09446
P21560	PF03981
P26309	PF00400
Q07794	PF08214
Q08144	PF05739
P39960	PF00169
P39960	PF00617
P39960	PF00618
P39960	PF00620
P53741	PF02136
P35177	PF00439
P38042	PF12895
P38042	PF00515
P38042	PF13432
P38042	PF13181
Q06512	PF03914
P53550	PF05026
P53550	PF00293
P46947	PF09736
P53045	PF04116
P54003	PF06687
P06104	PF00179
P38138	PF17137
P38138	PF13802
P38138	PF01055
P38138	PF21365
P38336	PF01868
P39986	PF13246
P39986	PF00122
Q3E840	PF05207
P25648	PF09497
Q12285	PF16843
Q12285	PF18514
Q12285	PF00240
P25293	PF00956
Q08004	PF12171
P40055	PF08149
P40055	PF00400
P31382	PF02815
P31382	PF02366
P31382	PF16192
P16664	PF08737
Q05900	PF06220
P04386	PF04082
P04386	PF03902
P04386	PF00172
P41910	PF09174
Q08972	PF00005
Q08972	PF00385
P32324	PF22042
P32324	PF00679
P32324	PF14492
P32324	PF03764
P32324	PF00009
P38041	PF00169
P38041	PF07647
P38041	PF00018
Q03660	PF12584
P15891	PF00241
P15891	PF00018
P04037	PF01215
P47102	PF01369
P47102	PF12783
P38920	PF01119
P38920	PF02518
P38920	PF16413
P23748	PF00581
Q04149	PF21292
Q04149	PF02732
Q04149	PF21136
Q04087	PF10422
Q06142	PF02985
Q06142	PF03810
Q03956	PF10259
P31539	PF00004
P31539	PF07724
P31539	PF17871
P31539	PF10431
P31539	PF02861
Q00362	PF00400
Q03375	PF08312
Q07540	PF01491
P38720	PF00393
P38720	PF03446
P38953	PF06745
P14284	PF00136
P14284	PF03104
P14284	PF14260
P40164	PF22972
P40164	PF04802
P25333	PF00069
P28834	PF00180
P34077	PF04097
Q05166	PF05172
P48606	PF02970
P53867	PF03416
P32912	PF00787
P25344	PF00788
P25344	PF09235
P29509	PF00070
P36049	PF05890
P38313	PF20994
P39935	PF12152
P39935	PF02854
P40961	PF01145
P15790	PF00069
Q04629	PF01529
P24279	PF00493
P24279	PF22207
P24279	PF17855
P24279	PF14551
P24279	PF17207
P40537	PF02902
Q12462	PF05648
P35178	PF05997
P14682	PF00179
P38859	PF13086
P38859	PF13087
P38859	PF08696
P38633	PF05669
Q06406	PF01423
P46948	PF01138
P46948	PF03725
P38431	PF01873
P38431	PF02020
P15646	PF01269
P38737	PF13001
P30657	PF00227
Q06624	PF00899
Q12446	PF00568
Q12446	PF02205
P20486	PF01111
P31383	PF02985
P39998	PF09532
P39998	PF03853
P40577	PF05841
P13574	PF02200
Q02647	PF01221
Q01939	PF00004
Q01939	PF17862
Q01939	PF16450
P53114	PF08689
Q03435	PF00505
Q02724	PF02902
P19807	PF13520
P38915	PF00400
P38328	PF00400
P29465	PF03142
P29465	PF22997
P23337	PF05693
P41819	PF00398
Q12421	PF09795
Q04089	PF08123
P04385	PF10509
P04385	PF08544
P04385	PF00288
P14681	PF00069
P40316	PF04856
P00163	PF00033
P00163	PF00032
P38297	PF00350
P22213	PF00995
Q05930	PF00646
Q12248	PF08649
P40454	PF03095
P36003	PF00069
P32621	PF01150
Q08109	PF13639
Q02159	PF00179
P12683	PF00368
P12683	PF13323
P12683	PF12349
P04840	PF01459
P20052	PF08613
Q00772	PF00069
P31373	PF01053
P39926	PF05739
P39926	PF00804
P39715	PF09135
P11914	PF00675
P11914	PF05193
P35201	PF11699
P35201	PF15624
P53235	PF08662
P32832	PF08624
P18851	PF00400
P41810	PF01602
P41810	PF07718
P41810	PF14806
P39016	PF00806
P30624	PF00501
Q12098	PF09494
P28241	PF00180
P32495	PF01248
Q12262	PF20993
P06242	PF00069
P53333	PF02847
P53538	PF04722
Q12176	PF03914
P47068	PF00018
P29366	PF00787
P29366	PF00018
P41338	PF02803
P41338	PF00108
P39969	PF00169
P39969	PF07647
P39969	PF00018
P38339	PF00611
P38339	PF00620
P38817	PF02883
P38817	PF03127
P38817	PF00790
P36036	PF13865
P36036	PF00076
P34111	PF04182
P34111	PF20222
P34111	PF21552
P38262	PF08513
P38262	PF00400
P53196	PF00400
P15442	PF12745
P15442	PF00069
P15442	PF05773
P15442	PF13393
P32566	PF09346
Q04199	PF00400
P50111	PF08632
Q06506	PF00400
P09798	PF12895
Q12223	PF04098
P36068	PF11435
P21243	PF00227
P21243	PF10584
P38850	PF00533
P38850	PF16770
P38850	PF16771
P34087	PF00575
